item_id,date,item_name,category,price,currency,camel_url,shopbot_url,merchant,source,source_ref
amazon_echo_dot,2024-01-01,Amazon Echo Dot (5th Gen),smart_home,49.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2024-02-01,Amazon Echo Dot (5th Gen),smart_home,44.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2024-03-01,Amazon Echo Dot (5th Gen),smart_home,39.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2024-07-15,Amazon Echo Dot (5th Gen),smart_home,29.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2024-11-25,Amazon Echo Dot (5th Gen),smart_home,25.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2025-01-10,Amazon Echo Dot (5th Gen),smart_home,33.99,USD,,,,sample_seed,sample_price_history.csv
amazon_echo_dot,2025-02-14,Amazon Echo Dot (5th Gen),smart_home,31.99,USD,https://camelcamelcamel.com/product/B0XXXXX1,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX1
amazon_echo_dot,2025-03-20,Amazon Echo Dot (5th Gen),smart_home,27.99,USD,https://camelcamelcamel.com/product/B0XXXXX1,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX1
amazon_echo_dot,2026-01-15,Amazon Echo Dot (5th Gen),smart_home,34.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
amazon_echo_dot,2026-02-20,Amazon Echo Dot (5th Gen),smart_home,29.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
amazon_echo_dot,2026-03-31,Amazon Echo Dot (5th Gen),smart_home,26.99,USD,,,Amazon,shopbot_injection,shopbot_injection.csv
apple_airpods_pro,2024-01-01,Apple AirPods Pro (2nd Gen),audio,249.0,USD,,,,sample_seed,sample_price_history.csv
apple_airpods_pro,2024-05-01,Apple AirPods Pro (2nd Gen),audio,219.0,USD,,,,sample_seed,sample_price_history.csv
apple_airpods_pro,2024-07-15,Apple AirPods Pro (2nd Gen),audio,189.0,USD,,,,sample_seed,sample_price_history.csv
apple_airpods_pro,2024-11-25,Apple AirPods Pro (2nd Gen),audio,169.0,USD,,,,sample_seed,sample_price_history.csv
apple_airpods_pro,2025-01-10,Apple AirPods Pro (2nd Gen),audio,179.0,USD,,,,sample_seed,sample_price_history.csv
apple_airpods_pro,2025-02-14,Apple AirPods Pro (2nd Gen),audio,175.0,USD,https://camelcamelcamel.com/product/B0XXXXX3,,,camelcamelcamel_injection,https://camelcamelcamel.com/product/B0XXXXX3
